question,yes_no,split
Has anyone discovered how proteins contribute to the mechanical properties of cells and tissues?,yes,validation
Has anyone made an entire cell with D amino acids?,no,validation
Has anyone identified how many copies of p53 whales have?,no,validation
Has anyone successfully identified the precise mechanisms by which prion proteins propagate their misfolded conformations across different species?,no,validation
Has anyone found a way to transfer memories between organisms?,yes,validation
Has anyone discovered all the protein conformations that exist in different cellular environments?,no,validation
Has anyone shown that  GLP-1 increases weight loss?,yes,validation
Has anyone used machine learning based exchange functionals in protein molecular dynamics simulations?,no,validation
Has anyone figured out the mechanism of cellular aging?,yes,validation
Has anyone been able to impute previously unknown relationships from a knowledge graph? ,yes,validation
Has anyone tried to have an LLM prompt set-up where one LLM pretends to be the user and the other the assistant and they accomplish a complex task via chatting? I think the paper had a camel in it or something,no,validation
Has anyone investigated osteocalcin as a drug for weight loss?,yes,validation
Has anyone beaten stockfish as a human,no,validation
Has anyone established regret bounds for any policy gradient algorithms?,yes,test
Has anyone evolved AAV capsids to target pancreatic beta cells?,yes,test
Has anyone shown an advantage from quantum computing in an AI field?,no,test
Has anyone shown that turkeys can use tools?,no,test
Has anyone determined the specific mechanisms by which PFNA disrupts thyroid function,no,test
Has anyone determined the protein changes that occur during cell differentiation and development?,yes,test
Has anyone identified all the factors that contribute to the speed of evolutionary changes across different species?,no,test
Has anyone created a myostatin inhibitor for humans?,yes,test
Has anyone studied motilin receptors as a drug target for eating disorders?,no,test
Has anyone established regret bounds for any variants of PPO or other trust region policy gradients?,yes,test
Has anyone used the Laundauer Principle to estimate upper limits of computation?,no,test
Has anyone found a fruit that cures cancer?,no,test
Has anyone measured accuracy of deep learning classifiers on VinDr-CXR dataset?,yes,test
Has anyone built an AI tool for designing new CRISPR/Cas variants to minimize off target DNA cutting? ,no,test
Has anyone shown that LLMs generate more novel research hypotheses than humans?,no,test
Has anyone systematically tested the ability of human proteins to function in place of their orthologs in yeast?,yes,test
Has anyone made a ribosome that functions with only RNA and no associated proteins?,no,test
"Has anyone cured AZ in mouse models? What modalities (antibody, small molecule, etc.) worked?",no,test
Has anyone been able to have rats become really muscular after several generations?,yes,test
"Has anyone written a review on AI for science - IMPORTANT: not a single science, but including biology AND chemistry AND materials",no,test
Has anyone Put a colony of mice in cages with infinite food over many generations to see whether the colony eventually dies from lack of competition,no,test
Has anyone studied the receptors of erythropoietin as drug targets for weight loss?,no,test
Has anyone demonstrated any pitfalls or cases where sparse autoencoders are misleading?,yes,test
Has anyone determined the complete structure of every protein in the human proteome?,no,test
Has anyone genetically engineered supercrows that are larger and smarter than regular crows?,no,test
Has anyone shown that Corticotropin-releasing hormone increases weight loss?,yes,test
"Has anyone built a platform to ask questions like ""has anyone done x"" over scientific literature?",yes,test
Has anyone mapped all the post-translational modifications in a single cell?,no,test
Has anyone Used directed evolution to evolve an AAV that is specific for the heart?,yes,test
Has anyone developed a variant of T7 RNA polymerase which can drive gene expression in eukaryotes?,yes,test
Has anyone used essential oils to enhance chicken growth rate?,yes,test
Has anyone found evidence that mosquitoes are attracted to a specific blood type?,yes,test
Has anyone used sparse autoencoders in large language models developed for chemistry?,no,test
Has anyone ever had triple negative breast cancer undergo transformation after chemotherapy and evolve to have more favorable genetics?,no,test
Has anyone imaged transcription in living drosophila embryos? ,yes,test
Has anyone studied unintended effects of GLP1 receptor agonists BESIDES appetite control and addiction treatment?,yes,test
Has anyone explored the combination of photonics-based neural recording with CRISPR genome editing technologies to advance understanding of neural diseases,no,test
Has anyone design an allosteric kinas inhibitor?,yes,test
Has anyone determined an upper limit for intelligence based on thermodynamics?,no,test
Has anyone ranked foods based on their histamine levels?,yes,test
Has anyone tried to automate GWAS?,yes,test
Has anyone tried an equivariant neural potential where the layer equivariance came from Clifford algebra?,yes,test
Has anyone studied inhibin receptors as a drug target for eating disorders?,no,test
Has anyone developed a self-replicating ribozyme?,no,test
Has anyone shown cases where sparse autoencoders (from the mechanistic interpretability literature) are misleading or wrong?,yes,test
Has anyone used ML and opentargets data to rank quality of targets?,yes,test
Has anyone done a high throughput pooled lentiviral screen to identify infectious glycoprotein mutants?,yes,test
Has anyone examined the concordance between family members' perceptions and patients' actual goals of care regarding end-of-life decisions?,yes,test
Has anyone used LLM-powered agents to automate the discovery of a novel chromophore?,yes,test
"Has anyone assessed diffusion models, like diffdock, for use in transfer learning for classification or regression of molecular properties?",no,test
